Rank,Country,FIFA Points,Region
1,Brazil,1841.3,South America
2,Belgium,1816.71,Europe
3,Argentina,1773.88,South America
4,France,1759.78,Europe
5,England,1728.47,Europe
6,Spain,1715.22,Europe
7,Netherlands,1694.51,Europe
8,Portugal,1676.56,Europe
9,Denmark,1666.57,Europe
10,Germany,1650.21,Europe
11,Croatia,1645.64,Europe
12,Mexico,1644.89,North America
13,Uruguay,1638.71,South America
14,Switzerland,1635.92,Europe
15,United States,1627.48,North America
16,Senegal,1584.38,Africa
17,Wales,1569.82,Europe
18,Iran,1564.61,Asia
19,Serbia,1563.62,Europe
20,Morocco,1563.5,Africa
21,Japan,1559.54,Asia
22,Poland,1548.59,Europe
23,Korea Republic,1530.3,Asia
24,Tunisia,1507.54,Africa
25,Costa Rica,1503.59,South America
26,Australia,1488.72,Asia
27,Canada,1475,North America
28,Cameroon,1471.44,Africa
29,Ecuador,1464.39,South America
30,Qatar,1439.89,Asia
31,Saudi Arabia,1437.78,Asia
32,Ghana,1393,Africa
